seed,outer_fold,test_year,departamento,fecha_base,horizonte,residual
42,1,2022,Antioquia,2022-04-18,4,0.1804738
42,1,2022,Arauca,2022-04-18,4,-0.2276845
42,1,2022,Atlantico,2022-04-18,4,0.44870958
42,1,2022,Bogota d.c.,2022-04-18,4,-0.09402628
42,1,2022,Bolivar,2022-04-18,4,1.0961838
42,1,2022,Boyaca,2022-04-18,4,-0.11387396
42,1,2022,Caldas,2022-04-18,4,-0.0982385
42,1,2022,Caqueta,2022-04-18,4,0.8269546
42,1,2022,Casanare,2022-04-18,4,0.65203094
42,1,2022,Cauca,2022-04-18,4,0.60925585
42,1,2022,Cesar,2022-04-18,4,0.24876726
42,1,2022,Choco,2022-04-18,4,0.7484706
42,1,2022,Cordoba,2022-04-18,4,0.9290387
42,1,2022,Cundinamarca,2022-04-18,4,-0.70496947
42,1,2022,Guainia,2022-04-18,4,-0.0016525984
42,1,2022,Guajira,2022-04-18,4,0.8382605
42,1,2022,Guaviare,2022-04-18,4,0.03379798
42,1,2022,Huila,2022-04-18,4,-0.99302554
42,1,2022,Magdalena,2022-04-18,4,-0.037732065
42,1,2022,Meta,2022-04-18,4,-0.82654905
42,1,2022,Narino,2022-04-18,4,0.19538611
42,1,2022,Norte De Santander,2022-04-18,4,-0.46537745
42,1,2022,Putumayo,2022-04-18,4,-0.3310989
42,1,2022,Quindio,2022-04-18,4,-0.7485789
42,1,2022,Risaralda,2022-04-18,4,-0.067505166
42,1,2022,Santander,2022-04-18,4,-0.76198125
42,1,2022,Sucre,2022-04-18,4,1.2654487
42,1,2022,Tolima,2022-04-18,4,-0.7404324
42,1,2022,Valle Del Cauca,2022-04-18,4,-0.3333344
42,1,2022,Vaupes,2022-04-18,4,-0.76631474
42,1,2022,Vichada,2022-04-18,4,-1.6140294
42,1,2022,Amazonas,2022-04-25,1,0.33224344
42,1,2022,Antioquia,2022-04-25,1,0.04917103
42,1,2022,Arauca,2022-04-25,1,-0.71977973
42,1,2022,Atlantico,2022-04-25,1,0.287727
42,1,2022,Bogota d.c.,2022-04-25,1,-0.08469483
42,1,2022,Bolivar,2022-04-25,1,0.68743575
42,1,2022,Boyaca,2022-04-25,1,-0.27295783
42,1,2022,Caldas,2022-04-25,1,0.07596871
42,1,2022,Caqueta,2022-04-25,1,1.1968303
42,1,2022,Casanare,2022-04-25,1,0.31240463
42,1,2022,Cauca,2022-04-25,1,0.49680334
42,1,2022,Cesar,2022-04-25,1,0.31400716
42,1,2022,Choco,2022-04-25,1,1.1491772
42,1,2022,Cordoba,2022-04-25,1,0.704685
42,1,2022,Cundinamarca,2022-04-25,1,-0.6224623
42,1,2022,Guainia,2022-04-25,1,0.4265604
42,1,2022,Guajira,2022-04-25,1,0.41131508
42,1,2022,Guaviare,2022-04-25,1,0.16880906
42,1,2022,Huila,2022-04-25,1,-1.2525791
42,1,2022,Magdalena,2022-04-25,1,-0.16534197
42,1,2022,Meta,2022-04-25,1,-1.0481509
42,1,2022,Narino,2022-04-25,1,0.078921914
42,1,2022,Norte De Santander,2022-04-25,1,-0.5291884
42,1,2022,Putumayo,2022-04-25,1,-0.43936455
42,1,2022,Quindio,2022-04-25,1,-0.613611
42,1,2022,Risaralda,2022-04-25,1,-0.09401971
42,1,2022,Santander,2022-04-25,1,-0.9799037
42,1,2022,Sucre,2022-04-25,1,0.639011
42,1,2022,Tolima,2022-04-25,1,-0.7707355
42,1,2022,Valle Del Cauca,2022-04-25,1,-0.24680072
42,1,2022,Vaupes,2022-04-25,1,-0.76494455
42,1,2022,Vichada,2022-04-25,1,-0.85283476
42,1,2022,Amazonas,2022-04-25,2,0.32546556
42,1,2022,Antioquia,2022-04-25,2,0.08079755
42,1,2022,Arauca,2022-04-25,2,-0.70573187
