seed,window_size,hidden_size,num_layers,dropout,learning_rate,batch_size
42,4,32,1,0.31665551110525497,0.00035777460913602926,64
123,8,64,3,0.19858238859085878,0.00017864133466985823,32
2024,16,64,1,0.3850911858031031,0.0003194652017001748,32
