seed,outer_fold,test_year,epoch,train_loss,val_loss,epoch_time
42,1,2022,1,0.832182576430255,0.31869928042093915,0.18093609809875488
42,1,2022,2,0.30661746140184076,0.19085261225700378,0.19129395484924316
42,1,2022,3,0.2265779368322471,0.15819105009237924,0.1924114227294922
42,1,2022,4,0.19635361060500145,0.14391304552555084,0.1878805160522461
42,1,2022,5,0.18113197283498172,0.13647129386663437,0.20225858688354492
42,1,2022,6,0.17200860535276347,0.13205426931381226,0.21252870559692383
42,1,2022,7,0.1644892896814593,0.1284802407026291,0.19049572944641113
42,1,2022,8,0.15784019013417178,0.12543593843777975,0.18713831901550293
42,1,2022,9,0.15205143803152546,0.12274351219336192,0.1824195384979248
42,1,2022,10,0.14709097981966776,0.12049792210261027,0.33624935150146484
42,1,2022,11,0.1428726158779243,0.11856117596228917,0.3006305694580078
42,1,2022,12,0.13927097644271522,0.11688836912314098,0.21931123733520508
42,1,2022,13,0.13614955017792768,0.11546857903401057,0.21599960327148438
42,1,2022,14,0.13340811290103813,0.11439721783002217,0.23703479766845703
42,1,2022,15,0.13102265755678044,0.11373885969320933,0.20341897010803223
42,1,2022,16,0.12884599818237896,0.11321888864040375,0.20300531387329102
42,1,2022,17,0.1269366628137128,0.11284029980500539,0.20587897300720215
42,1,2022,18,0.12511353721392565,0.1124894271294276,0.19336867332458496
42,1,2022,19,0.12349210409768696,0.11227919906377792,0.2003333568572998
42,1,2022,20,0.1219372455159138,0.11210040996472041,0.2264232635498047
42,1,2022,21,0.12052623259610143,0.1120095079143842,0.22904515266418457
42,1,2022,22,0.11918844025710533,0.1119223137696584,0.22555923461914062
42,1,2022,23,0.11796888631993327,0.11201732605695724,0.2534458637237549
42,1,2022,24,0.11671371976363248,0.11205274611711502,0.20136451721191406
42,1,2022,25,0.11554777262539699,0.11204058925310771,0.19529175758361816
42,1,2022,26,0.11447632942220261,0.11219672113656998,0.18754100799560547
42,1,2022,27,0.11335323776664405,0.1122854674855868,0.19020843505859375
42,1,2022,28,0.11230846751352837,0.11234849194685619,0.1855940818786621
42,1,2022,29,0.11132908355573128,0.11254081378380458,0.1912534236907959
42,1,2022,30,0.11029467294956076,0.11262916525204976,0.18608355522155762
42,1,2022,31,0.10933258705611887,0.11273611585299174,0.18242931365966797
42,1,2022,32,0.10839356559103933,0.11284569650888443,0.18721723556518555
42,1,2022,33,0.10746654315755286,0.11290242026249568,0.18340849876403809
42,1,2022,34,0.10507115978619148,0.11156030495961507,0.18922042846679688
42,1,2022,35,0.10543240105797505,0.10895991325378418,0.19418025016784668
42,1,2022,36,0.10499077405909012,0.10900301982959111,0.18847155570983887
42,1,2022,37,0.10400993621041035,0.10949908445278804,0.18460965156555176
42,1,2022,38,0.10302138251477275,0.10958151519298553,0.19632959365844727
42,1,2022,39,0.10219810697539099,0.10950876275698344,0.18613433837890625
42,1,2022,40,0.10150002803781936,0.10939133663972218,0.1836998462677002
42,1,2022,41,0.1009429524941691,0.10937407364447911,0.1854076385498047
42,1,2022,42,0.10039041525331037,0.1092997541030248,0.1857614517211914
42,1,2022,43,0.0999043899877318,0.10933168480793636,0.1874544620513916
42,1,2022,44,0.09941796958446503,0.10935152322053909,0.19246196746826172
42,1,2022,45,0.09898673164947279,0.10945138583580653,0.18355441093444824
42,1,2022,46,0.09854214137484288,0.10950884222984314,0.19649553298950195
42,1,2022,47,0.09756172820925713,0.10915710280338924,0.18414855003356934
42,1,2022,48,0.09718458103979456,0.1092098131775856,0.18668222427368164
42,1,2022,49,0.09691820942379277,0.1092207133769989,0.19099879264831543
42,1,2022,50,0.09671680333799329,0.10931722074747086,0.1917104721069336
42,1,2022,51,0.09651596587279747,0.1093992864092191,0.19262981414794922
42,1,2022,52,0.09631247959774115,0.10946683337291081,0.1900334358215332
42,1,2022,53,0.0961087488665663,0.1095372016231219,0.19058775901794434
42,1,2022,54,0.09590655417534812,0.10960664351781209,0.18743515014648438
42,1,2022,55,0.09570485970069623,0.10967623194058736,0.18675017356872559
42,2,2023,1,0.6889770902467497,0.4907949964205424,0.2167966365814209
42,2,2023,2,0.3186404492818948,0.30137544373671216,0.21576571464538574
42,2,2023,3,0.22840584069490433,0.230364461739858,0.2166891098022461
42,2,2023,4,0.1919212108760169,0.20119018852710724,0.21317648887634277
42,2,2023,5,0.1752994346121947,0.18618409832318625,0.21043920516967773
42,2,2023,6,0.16558287304007646,0.17718411485354105,0.21401691436767578
42,2,2023,7,0.1581549463850079,0.16959224889675775,0.21028470993041992
42,2,2023,8,0.1518698912678343,0.1630277285973231,0.21902775764465332
42,2,2023,9,0.14653028683228927,0.157415971159935,0.22013640403747559
42,2,2023,10,0.14194798040570636,0.15254495789607367,0.22304582595825195
42,2,2023,11,0.13795502235492071,0.1482782835761706,0.21497035026550293
42,2,2023,12,0.13445345459110808,0.14457756777604422,0.23159050941467285
42,2,2023,13,0.13138612314607157,0.14138980209827423,0.22458672523498535
42,2,2023,14,0.12868369923848094,0.1386993999282519,0.21393132209777832
42,2,2023,15,0.12629771503535184,0.1366032063961029,0.21268701553344727
42,2,2023,16,0.12419911711053415,0.13498909523089728,0.21802067756652832
42,2,2023,17,0.12234197026400855,0.13368985056877136,0.2118382453918457
42,2,2023,18,0.12069593889243675,0.13271990418434143,0.21207809448242188
42,2,2023,19,0.11921091524488998,0.13200751195351282,0.22473955154418945
42,2,2023,20,0.11788205181558926,0.13159254690011343,0.21061134338378906
42,2,2023,21,0.1166694580831311,0.1312006711959839,0.21551871299743652
42,2,2023,22,0.11558070124098749,0.13104074945052466,0.20611262321472168
42,2,2023,23,0.11454802559632243,0.13084041823943457,0.21283555030822754
42,2,2023,24,0.11360646423065301,0.13082584738731384,0.21921944618225098
42,2,2023,25,0.11269413487929286,0.13073557118574777,0.2174685001373291
42,2,2023,26,0.11186698812878493,0.13084137191375098,0.21289896965026855
42,2,2023,27,0.11103912555810178,0.13077965378761292,0.21118593215942383
42,2,2023,28,0.1102974960072474,0.13092350463072458,0.21427059173583984
42,2,2023,29,0.10948957897948497,0.13100107510884604,0.21587109565734863
42,2,2023,30,0.10875996992443547,0.13110454877217612,0.22405123710632324
42,2,2023,31,0.1080412387170575,0.13124379267295203,0.20650529861450195
42,2,2023,32,0.10729957699324146,0.13142376144727072,0.20688748359680176
42,2,2023,33,0.10665456781333144,0.13154049714406332,0.20735383033752441
42,2,2023,34,0.10592221468687057,0.1318607678016027,0.2140500545501709
42,2,2023,35,0.10529770329594612,0.13199429710706076,0.22030210494995117
42,2,2023,36,0.10453487356955354,0.13225785394509634,0.2093336582183838
42,2,2023,37,0.10173632204532623,0.1403304785490036,0.21660947799682617
42,2,2023,38,0.10141143428556847,0.1382327452301979,0.22243666648864746
42,2,2023,39,0.10049760759328351,0.137201689183712,0.21216917037963867
42,2,2023,40,0.09962062232873657,0.1370904544989268,0.21054744720458984
42,2,2023,41,0.09907979145646095,0.13711348921060562,0.21230387687683105
42,2,2023,42,0.09867274230628302,0.13713478545347849,0.21164393424987793
42,2,2023,43,0.09831346176338918,0.13719117641448975,0.21149492263793945
42,2,2023,44,0.09795435653491454,0.13726327816645303,0.21204066276550293
42,2,2023,45,0.09759261944528783,0.13733900090058646,0.21437716484069824
42,3,2024,1,0.76490292367008,0.7009820938110352,0.24362874031066895
42,3,2024,2,0.3049740499506394,0.4717032015323639,0.23749852180480957
42,3,2024,3,0.22162936959001753,0.34297869602839154,0.23145723342895508
42,3,2024,4,0.1893476309875647,0.2876679301261902,0.23254823684692383
