seed,outer_fold,test_year,epoch,train_loss,val_loss
42,1,2022,1,0.6067238511710331,0.41044366359710693
42,1,2022,2,0.37015448921713334,0.3218977351983388
42,1,2022,3,0.35152844313917486,0.3268296718597412
42,1,2022,4,0.34031245703327245,0.3132312794526418
42,1,2022,5,0.3340621343974409,0.3092356820901235
42,1,2022,6,0.3297913973701411,0.30702606836954754
42,1,2022,7,0.32646120313940374,0.30589359005292255
42,1,2022,8,0.32336970521458264,0.30487477282683056
42,1,2022,9,0.32056213350131596,0.30329760412375134
42,1,2022,10,0.31802789224632855,0.30064963301022846
42,1,2022,11,0.31551978595811747,0.2977186491092046
42,1,2022,12,0.31255009821776686,0.2958463132381439
42,1,2022,13,0.30887812427405653,0.29471148053805035
42,1,2022,14,0.30469144508242607,0.29220842321713764
42,1,2022,15,0.3003895842823489,0.28811292846997577
42,1,2022,16,0.29574770274861106,0.28374043107032776
42,1,2022,17,0.2904128721305009,0.28002812961737317
42,1,2022,18,0.2849610206382028,0.276273712515831
42,1,2022,19,0.28004311718817415,0.2727474570274353
42,1,2022,20,0.27536306106324854,0.2703250050544739
42,1,2022,21,0.2705780899730222,0.26810909310976666
42,1,2022,22,0.2654793268904604,0.2648122509320577
42,1,2022,23,0.2610982768237591,0.26418668031692505
42,1,2022,24,0.2587727303134984,0.24600590268770853
42,1,2022,25,0.25692226223904513,0.26317187150319415
42,1,2022,26,0.253780420484214,0.26366326212882996
42,1,2022,27,0.24973091328966207,0.2544083297252655
42,1,2022,28,0.24554663112965122,0.24395562211672464
42,1,2022,29,0.24286380975410857,0.24567954242229462
42,1,2022,30,0.24102095797144132,0.2497367560863495
42,1,2022,31,0.2390922955397902,0.24671689669291177
42,1,2022,32,0.2355770672960528,0.2396500607331594
42,1,2022,33,0.2326289620892755,0.23863262931505838
42,1,2022,34,0.23107239334233876,0.2396429032087326
42,1,2022,35,0.23667240605272097,0.2502136329809825
42,1,2022,36,0.2395837707766171,0.234143594900767
42,1,2022,37,0.23402853207341556,0.24329740802447
42,1,2022,38,0.2295540482576551,0.24630354841550192
42,1,2022,39,0.22654285436046534,0.2344699501991272
42,1,2022,40,0.2239043684355144,0.23327107727527618
42,1,2022,41,0.22088498429491601,0.23444144427776337
42,1,2022,42,0.21963734192581014,0.2353044052918752
42,1,2022,43,0.2177957685600067,0.23551480968793234
42,1,2022,44,0.21595168383470897,0.23455236355463663
42,1,2022,45,0.21250727515796136,0.22895932694276175
42,1,2022,46,0.21083456406305576,0.22680295507113138
42,1,2022,47,0.2104821297629126,0.2300073802471161
