seed,outer_fold,test_year,mse,rmse,mae,r2
42,1,2022,0.24723342061042786,0.497225724003121,0.3765685260295868,0.6171599626541138
42,2,2023,0.4476373791694641,0.6690570821458093,0.5263528823852539,0.3121398091316223
42,3,2024,0.4617498517036438,0.6795217816256104,0.50636887550354,0.3787403702735901
123,1,2022,0.2462066262960434,0.49619212639464905,0.3790062963962555,0.6187499761581421
123,2,2023,0.4142966568470001,0.643658804683817,0.5148038268089294,0.36337268352508545
123,3,2024,0.44350385665893555,0.6659608521969858,0.5041542053222656,0.4032893776893616
2024,1,2022,0.28302067518234253,0.5319968751621973,0.40864285826683044,0.5617434978485107
2024,2,2023,0.3938073217868805,0.6275406933314209,0.4901256561279297,0.39485758543014526
2024,3,2024,0.4907230734825134,0.7005162906617615,0.5323265790939331,0.3397584557533264
