seed,outer_fold,test_year,rmse,mae,r2
42,1,2022,2.8788516640347246,1.1483895682572047,0.6172123178095555
42,2,2023,4.204145129616385,1.8965158694414934,0.5857819384471081
42,3,2024,6.898856781422744,4.016452593197799,0.5687844747144222
123,1,2022,2.8291324460776806,1.1633816840403552,0.6303200156829986
123,2,2023,3.9503360089801203,1.8133772928095488,0.6342858975953217
123,3,2024,7.069954113069401,3.9027522873634592,0.5471302417486874
2024,1,2022,3.155479064362382,1.2688518546696284,0.5401142165163999
2024,2,2023,3.8258066338769745,1.9854799834046528,0.6569798249239632
2024,3,2024,6.423537285960384,3.7510387650811663,0.6261575373123802
