horizonte,rmse,mae,r2
1,4.596623460143798,2.1675399940970026,0.6877962579245442
2,4.77798967165177,2.2708793421534486,0.659534314619833
3,4.9086244169587285,2.351231802861554,0.6359472173683207
4,5.093286097842042,2.473140420851143,0.6027544393631501
