seed,outer_fold,test_year,mse,rmse,mae,r2
42,1,2022,0.12564291059970856,0.3544614373944062,0.24396680295467377,0.800506055355072
42,2,2023,0.15542450547218323,0.3942391475642459,0.27555546164512634,0.7797958850860596
42,3,2024,0.2306058257818222,0.4802143539939453,0.3575144410133362,0.7120184898376465
123,1,2022,0.13018319010734558,0.36080907708557663,0.25037723779678345,0.7932970523834229
123,2,2023,0.15092213451862335,0.388486981144315,0.2702619433403015,0.7861748337745667
123,3,2024,0.2288232296705246,0.47835471114072303,0.3492896258831024,0.7142446041107178
2024,1,2022,0.1394803822040558,0.3734707246947956,0.2572965621948242,0.7785351276397705
2024,2,2023,0.1665109246969223,0.4080575017040151,0.282147079706192,0.7640887498855591
2024,3,2024,0.22272907197475433,0.471941809945627,0.3400401771068573,0.7218550443649292
