seed,outer_fold,test_year,departamento,fecha_base,horizonte,residual
42,1,2022,Arauca,2022-04-18,4,0.9017132
42,1,2022,Atlantico,2022-04-18,4,0.23874176
42,1,2022,Bogota d.c.,2022-04-18,4,-0.011611737
42,1,2022,Bolivar,2022-04-18,4,0.88227135
42,1,2022,Boyaca,2022-04-18,4,0.26099965
42,1,2022,Caldas,2022-04-18,4,0.16906492
42,1,2022,Caqueta,2022-04-18,4,-0.1769898
42,1,2022,Casanare,2022-04-18,4,0.20305419
42,1,2022,Cauca,2022-04-18,4,0.58872235
42,1,2022,Cesar,2022-04-18,4,0.09269178
42,1,2022,Choco,2022-04-18,4,0.23820996
42,1,2022,Cordoba,2022-04-18,4,0.5599688
42,1,2022,Cundinamarca,2022-04-18,4,-0.09259203
42,1,2022,Guainia,2022-04-18,4,-0.07297349
42,1,2022,Guajira,2022-04-18,4,0.62854207
42,1,2022,Guaviare,2022-04-18,4,-0.37271035
42,1,2022,Huila,2022-04-18,4,-0.18610251
42,1,2022,Magdalena,2022-04-18,4,0.14565241
42,1,2022,Meta,2022-04-18,4,-0.2094599
42,1,2022,Narino,2022-04-18,4,0.260093
42,1,2022,Norte De Santander,2022-04-18,4,-0.008154511
42,1,2022,Putumayo,2022-04-18,4,-0.3709767
42,1,2022,Quindio,2022-04-18,4,-0.10678068
42,1,2022,Risaralda,2022-04-18,4,-0.061600536
42,1,2022,Santander,2022-04-18,4,0.35334134
42,1,2022,Sucre,2022-04-18,4,0.62756443
42,1,2022,Tolima,2022-04-18,4,0.20451146
42,1,2022,Valle Del Cauca,2022-04-18,4,0.05164355
42,1,2022,Vaupes,2022-04-18,4,-0.1279165
42,1,2022,Vichada,2022-04-18,4,-1.0112538
42,1,2022,Amazonas,2022-04-25,1,-0.35890627
42,1,2022,Antioquia,2022-04-25,1,0.063283145
42,1,2022,Arauca,2022-04-25,1,-0.009379625
42,1,2022,Atlantico,2022-04-25,1,0.04014361
42,1,2022,Bogota d.c.,2022-04-25,1,0.058230348
42,1,2022,Bolivar,2022-04-25,1,0.27761412
42,1,2022,Boyaca,2022-04-25,1,0.10084176
42,1,2022,Caldas,2022-04-25,1,0.26565453
42,1,2022,Caqueta,2022-04-25,1,0.46307015
42,1,2022,Casanare,2022-04-25,1,-0.11876392
42,1,2022,Cauca,2022-04-25,1,0.46563944
42,1,2022,Cesar,2022-04-25,1,0.24975336
42,1,2022,Choco,2022-04-25,1,0.6347233
42,1,2022,Cordoba,2022-04-25,1,0.31758893
42,1,2022,Cundinamarca,2022-04-25,1,-0.017613739
42,1,2022,Guainia,2022-04-25,1,0.16984451
42,1,2022,Guajira,2022-04-25,1,0.0170722
42,1,2022,Guaviare,2022-04-25,1,0.47820187
42,1,2022,Huila,2022-04-25,1,-0.14383197
42,1,2022,Magdalena,2022-04-25,1,0.005520165
42,1,2022,Meta,2022-04-25,1,-0.30946493
42,1,2022,Narino,2022-04-25,1,-0.060324788
42,1,2022,Norte De Santander,2022-04-25,1,-0.06763506
42,1,2022,Putumayo,2022-04-25,1,-0.13020492
42,1,2022,Quindio,2022-04-25,1,-0.11558416
42,1,2022,Risaralda,2022-04-25,1,-0.14286277
42,1,2022,Santander,2022-04-25,1,0.11112893
42,1,2022,Sucre,2022-04-25,1,0.048645496
42,1,2022,Tolima,2022-04-25,1,0.35314965
42,1,2022,Valle Del Cauca,2022-04-25,1,0.103812575
42,1,2022,Vaupes,2022-04-25,1,-0.018930845
42,1,2022,Vichada,2022-04-25,1,-0.1888718
42,1,2022,Amazonas,2022-04-25,2,-0.1899786
42,1,2022,Antioquia,2022-04-25,2,0.080702305
42,1,2022,Arauca,2022-04-25,2,-0.034837842
42,1,2022,Atlantico,2022-04-25,2,0.08794463
42,1,2022,Bogota d.c.,2022-04-25,2,0.01424019
42,1,2022,Bolivar,2022-04-25,2,0.45061707
42,1,2022,Boyaca,2022-04-25,2,0.29043338
42,1,2022,Caldas,2022-04-25,2,-0.012472585
42,1,2022,Caqueta,2022-04-25,2,0.19881582
42,1,2022,Casanare,2022-04-25,2,0.18328571
42,1,2022,Cauca,2022-04-25,2,0.2783998
42,1,2022,Cesar,2022-04-25,2,0.4362619
42,1,2022,Choco,2022-04-25,2,0.44829446
42,1,2022,Cordoba,2022-04-25,2,0.383703
42,1,2022,Cundinamarca,2022-04-25,2,0.014601663
42,1,2022,Guainia,2022-04-25,2,-1.4364656
42,1,2022,Guajira,2022-04-25,2,0.20758235
42,1,2022,Guaviare,2022-04-25,2,0.37588263
42,1,2022,Huila,2022-04-25,2,0.1721952
42,1,2022,Magdalena,2022-04-25,2,0.4167586
42,1,2022,Meta,2022-04-25,2,0.083316565
42,1,2022,Narino,2022-04-25,2,-0.043506056
42,1,2022,Norte De Santander,2022-04-25,2,-0.19965899
42,1,2022,Putumayo,2022-04-25,2,-0.29618645
42,1,2022,Quindio,2022-04-25,2,0.040956154
42,1,2022,Risaralda,2022-04-25,2,-0.05065167
42,1,2022,Santander,2022-04-25,2,0.33163226
42,1,2022,Sucre,2022-04-25,2,0.28885865
42,1,2022,Tolima,2022-04-25,2,0.24733627
42,1,2022,Valle Del Cauca,2022-04-25,2,-0.005878985
42,1,2022,Vaupes,2022-04-25,2,-0.1274131
42,1,2022,Vichada,2022-04-25,2,0.011540413
42,1,2022,Amazonas,2022-04-25,3,-0.6618451
42,1,2022,Antioquia,2022-04-25,3,0.09579241
42,1,2022,Arauca,2022-04-25,3,0.40160918
42,1,2022,Atlantico,2022-04-25,3,0.089399874
42,1,2022,Bogota d.c.,2022-04-25,3,-0.02801627
42,1,2022,Bolivar,2022-04-25,3,0.7137331
42,1,2022,Boyaca,2022-04-25,3,0.27127597
42,1,2022,Caldas,2022-04-25,3,0.09946336
42,1,2022,Caqueta,2022-04-25,3,0.14744306
42,1,2022,Casanare,2022-04-25,3,0.10157156
42,1,2022,Cauca,2022-04-25,3,0.4854946
42,1,2022,Cesar,2022-04-25,3,0.083229065
42,1,2022,Choco,2022-04-25,3,0.22932875
42,1,2022,Cordoba,2022-04-25,3,0.43253016
42,1,2022,Cundinamarca,2022-04-25,3,-0.0754631
42,1,2022,Guainia,2022-04-25,3,-0.21382594
42,1,2022,Guajira,2022-04-25,3,0.40135336
42,1,2022,Guaviare,2022-04-25,3,0.2124871
42,1,2022,Huila,2022-04-25,3,-0.06024623
42,1,2022,Magdalena,2022-04-25,3,-0.0115305185
42,1,2022,Meta,2022-04-25,3,-0.20783734
42,1,2022,Narino,2022-04-25,3,0.20211732
42,1,2022,Norte De Santander,2022-04-25,3,-0.11660683
42,1,2022,Putumayo,2022-04-25,3,-0.14846015
42,1,2022,Quindio,2022-04-25,3,-0.12950516
42,1,2022,Risaralda,2022-04-25,3,-0.05290413
42,1,2022,Santander,2022-04-25,3,0.35446137
