departamento,fecha_inicio,ano,semana,casos,casos_mujeres,casos_hombres,casos_rural,casos_urbano,n_0_4,n_5_13,n_14_26,n_27_59,n_60_mas,poblacion,poblacion_rural,poblacion_urbana,prop_rural,prop_urbana,incidencia,inc_lag_1,inc_lag_2,inc_lag_3,inc_lag_4,inc_lag_8,inc_lag_12,inc_lag_20,humedad_relativa,humedad_lag_1,humedad_lag_2,humedad_lag_3,humedad_lag_4,humedad_lag_8,humedad_lag_12,humedad_lag_20,precipitacion,precip_lag_1,precip_lag_2,precip_lag_3,precip_lag_4,precip_lag_8,precip_lag_12,precip_lag_20,temp_c,temp_lag_1,temp_lag_2,temp_lag_3,temp_lag_4,temp_lag_8,temp_lag_12,temp_lag_20,dpto_ccdgo
Amazonas,2012-01-02,2012,1,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.29060293947046,91.79978945711883,93.95276159915323,93.0121291959633,90.35337331920182,88.26819013392317,86.79677689552274,85.66583919296275,77.33172966052493,15.992617274481711,43.33994509220423,99.60437017535592,82.70223628947568,56.27144019912106,50.983545671162304,39.10824240596106,24.848667911739003,24.89065441273502,24.33475245156134,24.545617502032243,25.345678459980856,25.278160299553456,25.874929812961497,24.36444320584465,91
Amazonas,2012-01-09,2012,2,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.48312381716306,90.29060293947046,91.79978945711883,93.95276159915323,93.0121291959633,90.03136074368037,88.5169298021914,89.35211682333329,111.66820895633504,77.33172966052493,15.992617274481711,43.33994509220423,99.60437017535592,61.414600908910415,61.818291390998205,62.83024959488902,24.729720556843432,24.848667911739003,24.89065441273502,24.33475245156134,24.545617502032243,25.08414134812009,25.495665443311125,24.97179789227782,91
Amazonas,2012-01-16,2012,3,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.07696339909884,91.48312381716306,90.29060293947046,91.79978945711883,93.95276159915323,90.43284086423633,87.64296064616937,88.60315385645006,46.68758864708741,111.66820895633504,77.33172966052493,15.992617274481711,43.33994509220423,93.71308271429712,24.950393009112357,42.988017902477054,24.638674420587936,24.729720556843432,24.848667911739003,24.89065441273502,24.33475245156134,25.75107002841004,25.760538647550067,25.304947481881303,91
Amazonas,2012-01-23,2012,4,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.75194674869336,88.07696339909884,91.48312381716306,90.29060293947046,91.79978945711883,90.05403483667783,89.80727532269624,89.82968296293336,49.829879826797765,46.68758864708741,111.66820895633504,77.33172966052493,15.992617274481711,40.42603190083457,88.16934346966706,56.57246740559661,25.164008081518347,24.638674420587936,24.729720556843432,24.848667911739003,24.89065441273502,25.284156999648808,25.84208891474138,25.16614181470845,91
Amazonas,2012-01-30,2012,5,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.73219563057168,91.75194674869336,88.07696339909884,91.48312381716306,90.29060293947046,90.35337331920182,88.26819013392317,89.16411322779207,84.01058263283412,49.829879826797765,46.68758864708741,111.66820895633504,77.33172966052493,82.70223628947568,56.27144019912106,74.89304746247001,24.604643866632514,25.164008081518347,24.638674420587936,24.729720556843432,24.848667911739003,25.345678459980856,25.278160299553456,25.31239489748437,91
Amazonas,2012-02-06,2012,6,2.0,2,0,1,1,0,0,0,2,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,2.9120135117426944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.03904062615453,94.73219563057168,91.75194674869336,88.07696339909884,91.48312381716306,93.0121291959633,90.03136074368037,91.04279862672226,98.43031956117528,84.01058263283412,49.829879826797765,46.68758864708741,111.66820895633504,99.60437017535592,61.414600908910415,56.51443983480511,24.18338583860223,24.604643866632514,25.164008081518347,24.638674420587936,24.729720556843432,24.545617502032243,25.08414134812009,25.06305420806505,91
Amazonas,2012-02-13,2012,7,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,2.9120135117426944,0.0,0.0,0.0,0.0,0.0,0.0,90.49654027820924,83.03904062615453,94.73219563057168,91.75194674869336,88.07696339909884,93.95276159915323,90.43284086423633,91.78429513180254,40.1746443145465,98.43031956117528,84.01058263283412,49.829879826797765,46.68758864708741,43.33994509220423,93.71308271429712,69.87682654295708,25.79897183034084,24.18338583860223,24.604643866632514,25.164008081518347,24.638674420587936,24.33475245156134,25.75107002841004,25.188761608071157,91
Amazonas,2012-02-20,2012,8,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,0.0,2.9120135117426944,0.0,0.0,0.0,0.0,0.0,89.02349769758534,90.49654027820924,83.03904062615453,94.73219563057168,91.75194674869336,91.79978945711883,90.05403483667783,87.96578538419836,80.20510339668448,40.1746443145465,98.43031956117528,84.01058263283412,49.829879826797765,15.992617274481711,40.42603190083457,42.24778082950721,24.40230955879243,25.79897183034084,24.18338583860223,24.604643866632514,25.164008081518347,24.89065441273502,25.284156999648808,26.109409589901365,91
Amazonas,2012-02-27,2012,9,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,0.0,0.0,2.9120135117426944,0.0,0.0,0.0,0.0,94.008101859117,89.02349769758534,90.49654027820924,83.03904062615453,94.73219563057168,90.29060293947046,90.35337331920182,86.79677689552274,91.73185160311732,80.20510339668448,40.1746443145465,98.43031956117528,84.01058263283412,77.33172966052493,82.70223628947568,50.983545671162304,24.663214182394334,24.40230955879243,25.79897183034084,24.18338583860223,24.604643866632514,24.848667911739003,25.345678459980856,25.874929812961497,91
Amazonas,2012-03-05,2012,10,2.0,2,0,0,2,0,0,0,1,1,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,2.9120135117426944,0.0,0.0,0.0,2.9120135117426944,0.0,0.0,0.0,91.96670550176584,94.008101859117,89.02349769758534,90.49654027820924,83.03904062615453,91.48312381716306,93.0121291959633,88.5169298021914,90.22414049423648,91.73185160311732,80.20510339668448,40.1746443145465,98.43031956117528,111.66820895633504,99.60437017535592,61.818291390998205,23.9779329642257,24.663214182394334,24.40230955879243,25.79897183034084,24.18338583860223,24.729720556843432,24.545617502032243,25.495665443311125,91
Amazonas,2012-03-12,2012,11,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,2.9120135117426944,0.0,0.0,0.0,0.0,0.0,0.0,90.14204812414046,91.96670550176584,94.008101859117,89.02349769758534,90.49654027820924,88.07696339909884,93.95276159915323,87.64296064616937,94.60958935164196,90.22414049423648,91.73185160311732,80.20510339668448,40.1746443145465,46.68758864708741,43.33994509220423,24.950393009112357,24.569389986399575,23.9779329642257,24.663214182394334,24.40230955879243,25.79897183034084,24.638674420587936,24.33475245156134,25.760538647550067,91
Amazonas,2012-03-19,2012,12,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,0.0,2.9120135117426944,0.0,0.0,0.0,0.0,0.0,92.88798386715058,90.14204812414046,91.96670550176584,94.008101859117,89.02349769758534,91.75194674869336,91.79978945711883,89.80727532269624,63.79437619678972,94.60958935164196,90.22414049423648,91.73185160311732,80.20510339668448,49.829879826797765,15.992617274481711,88.16934346966706,25.157715870634203,24.569389986399575,23.9779329642257,24.663214182394334,24.40230955879243,25.164008081518347,24.89065441273502,25.84208891474138,91
Amazonas,2012-03-26,2012,13,2.0,1,1,0,2,0,0,1,1,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,2.9120135117426944,0.0,0.0,2.9120135117426944,0.0,0.0,0.0,0.0,93.19121531210584,92.88798386715058,90.14204812414046,91.96670550176584,94.008101859117,94.73219563057168,90.29060293947046,88.26819013392317,112.39479341490087,63.79437619678972,94.60958935164196,90.22414049423648,91.73185160311732,84.01058263283412,77.33172966052493,56.27144019912106,24.24602831759714,25.157715870634203,24.569389986399575,23.9779329642257,24.663214182394334,24.604643866632514,24.848667911739003,25.278160299553456,91
Amazonas,2012-04-02,2012,14,2.0,0,2,2,0,0,0,1,1,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,2.9120135117426944,2.9120135117426944,0.0,0.0,2.9120135117426944,2.9120135117426944,0.0,0.0,90.43942513345262,93.19121531210584,92.88798386715058,90.14204812414046,91.96670550176584,83.03904062615453,91.48312381716306,90.03136074368037,56.73925280006645,112.39479341490087,63.79437619678972,94.60958935164196,90.22414049423648,98.43031956117528,111.66820895633504,61.414600908910415,24.681709113796163,24.24602831759714,25.157715870634203,24.569389986399575,23.9779329642257,24.18338583860223,24.729720556843432,25.08414134812009,91
Amazonas,2012-04-09,2012,15,0.0,0,0,0,0,0,0,0,0,0,68681.0,35413,33268,0.5156156724567202,0.4843843275432798,0.0,2.9120135117426944,2.9120135117426944,0.0,0.0,0.0,0.0,0.0,88.9410158418395,90.43942513345262,93.19121531210584,92.88798386715058,90.14204812414046,90.49654027820924,88.07696339909884,90.43284086423633,85.63192285587343,56.73925280006645,112.39479341490087,63.79437619678972,94.60958935164196,40.1746443145465,46.68758864708741,93.71308271429712,24.99527815936428,24.681709113796163,24.24602831759714,25.157715870634203,24.569389986399575,25.79897183034084,24.638674420587936,25.75107002841004,91
