seed,outer_fold,test_year,mse,rmse,mae,r2,train_time,inference_time
42,1,2022,0.41070184111595154,0.6408602352431859,0.4968704581260681,0.3432086706161499,2.4284887313842773,0.00516963005065918
42,1,2022,0.41070184111595154,0.6408602352431859,0.4968704581260681,0.3432086706161499,2.1937384605407715,0.0039556026458740234
42,2,2023,0.530811607837677,0.7285681902455508,0.5588904023170471,0.18595540523529053,2.9233477115631104,0.003152132034301758
42,3,2024,1.124232530593872,1.060298321508561,0.8927232027053833,-0.5601518154144287,2.6232223510742188,0.002672433853149414
123,1,2022,0.42362338304519653,0.6508635671515164,0.5111703276634216,0.3279656767845154,4.383239269256592,0.004166364669799805
123,2,2023,0.5470655560493469,0.73963880107073,0.566935658454895,0.13407570123672485,2.8840014934539795,0.0026679039001464844
123,3,2024,1.1234902143478394,1.0599482130499769,0.846586287021637,-0.5851036310195923,1.937251091003418,0.0028519630432128906
2024,1,2022,0.4256550073623657,0.6524224148221501,0.5090672969818115,0.3367205262184143,3.6832666397094727,0.004195213317871094
2024,2,2023,0.530444860458374,0.7283164562594848,0.5455673336982727,0.12636297941207886,3.5110299587249756,0.0035169124603271484
2024,3,2024,1.3176803588867188,1.147902591201326,0.936146080493927,-0.9562256336212158,2.8778607845306396,0.002716064453125
