seed,outer_fold,test_year,epoch,train_loss,val_loss,epoch_time
42,1,2022,1,0.9459818964203198,0.5890702903270721,0.057358503341674805
42,1,2022,2,0.4987268179655075,0.47989262640476227,0.06043076515197754
42,1,2022,3,0.3232567767302195,0.46426132321357727,0.05965900421142578
42,1,2022,4,0.2928442085782687,0.4486609697341919,0.0586850643157959
42,1,2022,5,0.2742618146042029,0.4227595329284668,0.06235980987548828
42,1,2022,6,0.2570846490561962,0.40918056666851044,0.058238983154296875
42,1,2022,7,0.24035555894176167,0.3876837193965912,0.060449838638305664
42,1,2022,8,0.23305692076683043,0.3706623464822769,0.0632467269897461
42,1,2022,9,0.21492131451765698,0.3888140618801117,0.06094956398010254
42,1,2022,10,0.20488272656997045,0.3774293065071106,0.06320738792419434
42,1,2022,11,0.22296697547038397,0.3803565800189972,0.06081199645996094
42,1,2022,12,0.19519532571236292,0.3557007312774658,0.06028890609741211
42,1,2022,13,0.18724417090415954,0.3840267211198807,0.06067776679992676
42,1,2022,14,0.17594833721717199,0.347571924328804,0.05799508094787598
42,1,2022,15,0.16144014100233714,0.3542996495962143,0.060399532318115234
42,1,2022,16,0.14897500351071358,0.36794571578502655,0.060605764389038086
42,1,2022,17,0.14796968400478364,0.35617533326148987,0.060744285583496094
42,1,2022,18,0.13789563551545142,0.3544740378856659,0.061402320861816406
42,1,2022,19,0.13212676867842674,0.376224622130394,0.05814242362976074
42,1,2022,20,0.13113891954223314,0.3369058668613434,0.05885624885559082
42,1,2022,21,0.1370562084019184,0.3667972534894943,0.05941939353942871
42,1,2022,22,0.12381957024335861,0.3415706902742386,0.061235904693603516
42,1,2022,23,0.11841910406947136,0.3743142932653427,0.06360220909118652
42,1,2022,24,0.11662944108247757,0.3507351875305176,0.0589139461517334
42,1,2022,25,0.11000427827239037,0.3626027852296829,0.06305074691772461
42,1,2022,26,0.10739565044641494,0.361404687166214,0.061129093170166016
42,1,2022,27,0.1084581471979618,0.35314318537712097,0.05689716339111328
