seed,outer_fold,test_year,inference_time,train_time
42,1,2022,0.00516963005065918,2.4284887313842773
42,1,2022,0.0039556026458740234,2.1937384605407715
42,2,2023,0.003152132034301758,2.9233477115631104
42,3,2024,0.002672433853149414,2.6232223510742188
123,1,2022,0.004166364669799805,4.383239269256592
123,2,2023,0.0026679039001464844,2.8840014934539795
123,3,2024,0.0028519630432128906,1.937251091003418
2024,1,2022,0.004195213317871094,3.6832666397094727
2024,2,2023,0.0035169124603271484,3.5110299587249756
2024,3,2024,0.002716064453125,2.8778607845306396
