seed,test_year,rmse,mse,mae,r2
42,2022,2.522601293187909,6.3635172843933105,1.0895631313323975,0.7060884833335876
42,2023,3.6126123747457344,13.050968170166016,1.6801741123199463,0.6941444873809814
42,2024,4.737454964214844,22.443479537963867,2.794788360595703,0.7966564893722534
123,2022,2.383231004327741,5.679790019989014,1.0947580337524414,0.7343344688415527
123,2023,3.6643728681932575,13.427628517150879,1.7750437259674072,0.6660900712013245
123,2024,4.626144267628509,21.40121078491211,2.7454113960266113,0.7993054389953613
2024,2022,2.489799383729927,6.199100971221924,1.1132829189300537,0.7277029752731323
2024,2023,3.0759433818909336,9.461427688598633,1.6221357583999634,0.7011879086494446
2024,2024,4.455106167368451,19.847970962524414,2.657505989074707,0.7680031657218933
