seed,test_year,epoch,train_loss,val_loss
42,2022,1,0.6133943262578587,0.2009790923608386
42,2022,2,0.1828841515022597,0.15371688196192618
42,2022,3,0.15713739534118032,0.13867627683541048
42,2022,4,0.1465146180780157,0.1351870988374171
42,2022,5,0.14079875142905543,0.13449668799243544
42,2022,6,0.1371693041408209,0.13444330243636732
42,2022,7,0.13472356835153232,0.13472546847618144
42,2022,8,0.13298114919175427,0.13499164411231226
42,2022,9,0.1316275719237151,0.13499784801641238
42,2022,10,0.1305230237360161,0.13493026509557082
42,2022,11,0.1295659559571984,0.13472054599095945
42,2022,12,0.1287089826838319,0.13434884859168011
42,2022,13,0.12792339298942726,0.133832480110552
42,2022,14,0.12718891099911153,0.1333631413948277
42,2022,15,0.1265045868867039,0.13288748090195915
42,2022,16,0.12577827125647856,0.1319408195660166
42,2022,17,0.12516948592992563,0.13144877091374085
42,2022,18,0.12444498321802225,0.13029686628800372
42,2022,19,0.12390206952226464,0.12964073179856592
42,2022,20,0.12321106888398496,0.12856711892654066
42,2022,21,0.12269082215101126,0.1281134586619294
42,2022,22,0.12208144770178929,0.12742424776534672
42,2022,23,0.12155123570762022,0.12702472844039617
42,2022,24,0.1209732939358557,0.12658839154502619
42,2022,25,0.12046045779199574,0.12649892201728147
42,2022,26,0.11994335836405566,0.12648512297512396
42,2022,27,0.11947828871498062,0.1265558274867742
42,2022,28,0.11898694747516095,0.12658641195815543
42,2022,29,0.11853881622337495,0.12661568034926188
42,2022,30,0.11805310925128581,0.12656751833856106
42,2022,31,0.11761704689074964,0.12658996066159528
42,2022,32,0.11714863229433324,0.12653922127640765
42,2022,33,0.11673676509901072,0.12660798989236355
42,2022,34,0.11626106139929882,0.12666436134959044
42,2022,35,0.11589303259582569,0.12667732167503107
42,2022,36,0.11540394261625574,0.12663606003574704
42,2022,37,0.11511369574094885,0.1266336518785228
42,2022,38,0.11456942158787739,0.12668085997195347
42,2022,39,0.11432483879255506,0.1266755547131533
42,2022,40,0.11376293136410202,0.12674321218029314
42,2022,41,0.1135091527925566,0.12682035873117653
42,2022,42,0.11300394716880162,0.1270653309057588
42,2022,43,0.11273555623935066,0.12728095410958581
42,2022,44,0.1122817633539987,0.1275820208956366
42,2022,45,0.11200683333711561,0.1277769561856985
42,2022,46,0.1115898596392015,0.12816155726171058
